Company Name or Owners's Name,City,Company type,building,address,full_address
"DAVID G. HASKINS, JR.",Boston,Attorney:,,10 Tremont st.,"10 Tremont st., Boston, Massachusetts, USA"
BROWN-WALKER-SIMMONS CO.,Boston,Real Estate:,John Hancock bldg.,,"John Hancock bldg., Boston, Massachusetts, USA"
ELLSWORTH & JONES,Boston,Real Estate:,John Hancock bldg.,,"John Hancock bldg., Boston, Massachusetts, USA"
A. O. NORTON,Boston,Real Estate:,,286 Congress st.,"286 Congress st., Boston, Massachusetts, USA"
FREDK 0. WOODRUFF & CO.,Boston,Real Estate:,,80 State st.,"80 State st., Boston, Massachusetts, USA"
Geo. H. Abbott & Co.,Boston,Real Estate:,,209 Washington,"209 Washington, Boston, Massachusetts, USA"
Howard K. Abbott,Boston,Real Estate:,,86 Warren,"86 Warren, Boston, Massachusetts, USA"
L. B. Abbott,Boston,Real Estate:,,17 Valentine,"17 Valentine, Boston, Massachusetts, USA"
Adams Real Estate Trust,Boston,Real Estate:,,84 State,"84 State, Boston, Massachusetts, USA"
A. Adelman & Co.,Boston,Real Estate:,1030 Old So. b'dg.,,"1030 Old So. b'dg., Boston, Massachusetts, USA"
R. H. Allen,Boston,Real Estate:,,27 State,"27 State, Boston, Massachusetts, USA"
Wm.. H. Allen,Boston,Real Estate:,,67 Chauncy,"67 Chauncy, Boston, Massachusetts, USA"
Alford Bros. & Co.,Boston,Real Estate:,,79 Milk,"79 Milk, Boston, Massachusetts, USA"
Am. Real Estate Co.,Boston,Real Estate:,,6 Beacon,"6 Beacon, Boston, Massachusetts, USA"
Amico & Caruso,Boston,Real Estate:,,84 Porter,"84 Porter, Boston, Massachusetts, USA"
J. Edward Anderson,Boston,Real Estate:,,19 Milk,"19 Milk, Boston, Massachusetts, USA"
R. F. Andrews & Co.,Boston,Real Estate:,,2343 Washington,"2343 Washington, Boston, Massachusetts, USA"
C. W. Angell & Co.,Boston,Real Estate:,,489 Blue Hill ave.,"489 Blue Hill ave., Boston, Massachusetts, USA"
Wm. J. Anglim,Boston,Real Estate:,John Hancock bldg.,,"John Hancock bldg., Boston, Massachusetts, USA"
Frank Anthony,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Geo. C. Appleton & Son,Boston,Real Estate:,Worthing-,,"Worthing-, Boston, Massachusetts, USA"
John V. Apthorp,Boston,Real Estate:,Tremont Tem.,,"Tremont Tem., Boston, Massachusetts, USA"
Philip 8. Aronson,Boston,Real Estate:,,27 School,"27 School, Boston, Massachusetts, USA"
William Arthur,Boston,Real Estate:,,58 Falmouth,"58 Falmouth, Boston, Massachusetts, USA"
Aspinwall & Codman,Boston,Real Estate:,,50 Congress,"50 Congress, Boston, Massachusetts, USA"
"Atwood, Pattee & Potter",Boston,Real Estate:,,27 School,"27 School, Boston, Massachusetts, USA"
Atwood & Everett,Boston,Real Estate:,,42 Dartmouth,"42 Dartmouth, Boston, Massachusetts, USA"
W. G. Aylsworth,Boston,Real Estate:,,Allston,"Allston, Boston, Massachusetts, USA"
George W. P. Babb,Boston,Real Estate:,,Roslindale,"Roslindale, Boston, Massachusetts, USA"
Bk Bay Real Estate Co.,Boston,Real Estate:,,206 Mass. ave.,"206 Mass. ave., Boston, Massachusetts, USA"
"Benj. F. Badger, Jr.",Boston,Real Estate:,Tremont bldg,,"Tremont bldg, Boston, Massachusetts, USA"
Bagley & Cline,Boston,Real Estate:,,East Boston,"East Boston, Boston, Massachusetts, USA"
Herman W. Bailey,Boston,Real Estate:,,3 Irvington,"3 Irvington, Boston, Massachusetts, USA"
Edward F. Baker,Boston,Real Estate:,,8 Beacon,"8 Beacon, Boston, Massachusetts, USA"
"Watson F. Baker, Jr.",Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
Joseph Balch,Boston,Real Estate:,,53 State,"53 State, Boston, Massachusetts, USA"
Dwight Baldwin,Boston,Real Estate:,,Allston,"Allston, Boston, Massachusetts, USA"
Wm. F. Baldwin,Boston,Real Estate:,Ames bldg.,,"Ames bldg., Boston, Massachusetts, USA"
Bamfard & Tyler,Boston,Real Estate:,,24 Milk,"24 Milk, Boston, Massachusetts, USA"
L. S. & H. Barker,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Samuel Barnard,Boston,Real Estate:,,183 Summer,"183 Summer, Boston, Massachusetts, USA"
C. F. Barnes,Boston,Real Estate:,,2584 Washington,"2584 Washington, Boston, Massachusetts, USA"
Edward F. Carnes,Boston,Real Estate:,Worthington bld.,,"Worthington bld., Boston, Massachusetts, USA"
Wilfred Barnes,Boston,Real Estate:,Exchange bldg.,,"Exchange bldg., Boston, Massachusetts, USA"
William E. Barnes,Boston,Real Estate:,,Atlantic,"Atlantic, Boston, Massachusetts, USA"
James Barrett,Boston,Real Estate:,,643A Warren,"643A Warren, Boston, Massachusetts, USA"
G. B. Barron & Dempsey,Boston,Real Estate:,,679. Tremont,"679. Tremont, Boston, Massachusetts, USA"
R. S. Barrows,Boston,Real Estate:,,262 Washington,"262 Washington, Boston, Massachusetts, USA"
Wm. E. Bartlett,Boston,Real Estate:,,389 Broadway,"389 Broadway, Boston, Massachusetts, USA"
Max Baruch,Boston,Real Estate:,,190 North,"190 North, Boston, Massachusetts, USA"
Gardner Bates,Boston,Real Estate:,,Charlestown,"Charlestown, Boston, Massachusetts, USA"
Mrs. L. B. Battle,Boston,Real Estate:,,10 Piedmont,"10 Piedmont, Boston, Massachusetts, USA"
"Horace W. Baxter, Jr.",Boston,Real Estate:,,28 Chambers,"28 Chambers, Boston, Massachusetts, USA"
Bay State Land Co.,Boston,Real Estate:,,16 Exchange,"16 Exchange, Boston, Massachusetts, USA"
William A. L. Bazeley,Boston,Real Estate:,,53 State,"53 State, Boston, Massachusetts, USA"
A. B. Beal,Boston,Real Estate:,,43 Tremont,"43 Tremont, Boston, Massachusetts, USA"
Gardner Beals,Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
Geo. C. Beals,Boston,Real Estate:,,27 State,"27 State, Boston, Massachusetts, USA"
John L. Behneke,Boston,Real Estate:,Worthington bldg,,"Worthington bldg, Boston, Massachusetts, USA"
F. Eugene Belden,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
James F. Bell,Boston,Real Estate:,,47 Court,"47 Court, Boston, Massachusetts, USA"
Henry D. Bennett,Boston,Real Estate:,,85 Water,"85 Water, Boston, Massachusetts, USA"
E. C. Benson,Boston,Real Estate:,,Jamaica,"Jamaica, Boston, Massachusetts, USA"
Joseph L. Bergman,Boston,Real Estate:,,27 School,"27 School, Boston, Massachusetts, USA"
