Page Number,Text,Company_Type,City,Company_Name,Address,Building,Full_Address,Latitude,Longitude
1,"Tee aayis , 670,536",,Boston,"Tee aayis ,","670,536",,"670,536, Boston",-34.7606867755102,-58.3713193877551
1,"DA G. HASKINS, JR., Attorney, 10",Attorney,Boston,"DA G. HASKINS, JR., Attorney,",10,,"10, Boston",-33.89644205,18.622387046340194
1,"aremen t_ st, 8 cial attention given",Attorney,Boston,"aremen t_ st,",8 cial attention given,,"8 cial attention given, Boston",,
1,o Beal Estate,Attorney,Boston,o Beal Estate,,,,,
1,Real Estate,Real Estate,Boston,Real Estate,,,,,
1,"ROWN-WALEER-SIMMONS CO., John cock",Real Estate,Boston,"ROWN-WALEER-SIMMONS CO., John cock",,,,,
1,"n Set JONES, John Hancock ldg.",Real Estate,Boston,"n Set JONES, John Hancock ldg.",,,,,
1,"A. 0. NORTON, Congress",Real Estate,Boston,A.,"0. NORTON, Congress",,"0. NORTON, Congress, Boston",,
1,FEED  o. Woop UFF  co. 0 Btate e,Real Estate,Boston,FEED  o. Woop UFF  co.,0 Btate e,,"0 Btate e, Boston",,
1,"Geo. H. Abbott e Co., 209 Washington",Real Estate,Boston,"Geo. H. Abbott e Co.,",209 Washington,,"209 Washington, Boston",47.6380627,-122.352658
1,"pomard K. Abbott, 86 Warre",Real Estate,Boston,"pomard K. Abbott,",86 Warre,,"86 Warre, Boston",,
1,"L. B. Abbott, 17 Valentine",Real Estate,Boston,"L. B. Abbott,",17 Valentine,,"17 Valentine, Boston",42.32176491403129,-71.0922159916902
1,"Adams Real Estate Trust, 84 Sta",Real Estate,Boston,"Adams Real Estate Trust,",84 Sta,,"84 Sta, Boston",,
1,"A. Adelman  Co., 1030 Old So. tag.",Real Estate,Boston,"A. Adelman  Co.,",1030 Old So. tag.,,"1030 Old So. tag., Boston",,
1,"R. H. Allen, 27 State",Real Estate,Boston,"R. H. Allen,",27 State,,"27 State, Boston",,
1,"Wm..H. Allen, 67 Chaunc",Real Estate,Boston,"Wm..H. Allen,",67 Chaunc,,"67 Chaunc, Boston",,
1,"Alford Bros,  Co., 79 Milk",Real Estate,Boston,"Alford Bros,  Co.,",79 Milk,,"79 Milk, Boston",42.356922088235294,-71.05683888235295
1,"Am, Real Estate Co., 6 Beacon",Real Estate,Boston,"Am, Real Estate Co.,",6 Beacon,,"6 Beacon, Boston",42.35803185,-71.06152878081869
1,"Amico  Caruso, 84 Porter",Real Estate,Boston,"Amico  Caruso,",84 Porter,,"84 Porter, Boston",42.31516889169297,-71.10290423925117
1,"J. Edward Anderson, 19 Milk",Real Estate,Boston,"J. Edward Anderson,",19 Milk,,"19 Milk, Boston",42.3566899,-71.05843388507586
1,"R. F. Andrews  Co., 2343 Washington",Real Estate,Boston,"R. F. Andrews  Co.,",2343 Washington,,"2343 Washington, Boston",45.5153672,-122.837946
1,"7 my Aneel  Co., 89 Blue Hill ave.",Real Estate,Boston,,"7 my Aneel  Co., 89 Blue Hill ave.",,"7 my Aneel  Co., 89 Blue Hill ave., Boston",,
1,J. angles 236 John Hancock building.,Real Estate,Boston,J. angles 236 John Hancock building.,, angles 236 John Hancock building," angles 236 John Hancock building, Boston",,
1,"Franke Antheny, Dorchester",Real Estate,Boston,"Franke Antheny, Dorchester",,,,,
1,"Geo. CAP cc  Son, 402 Worthing- ton",Real Estate,Boston,"Geo. CAP cc  Son,",402 Worthing- ton,,"402 Worthing- ton, Boston",,
1,"John Y, A OChGED. o Tremont Tem.",Real Estate,Boston,"John Y, A OChGED. o Tremont Tem.",,,,,
1,"Philip 8. Aronson, 8choo",Real Estate,Boston,Philip,"8. Aronson, 8choo",,"8. Aronson, 8choo, Boston",,
1,"William Arthur, 38. Fatmouth",Real Estate,Boston,"William Arthur,",38. Fatmouth,,"38. Fatmouth, Boston",,
1,"Aspinwall  Codman, 60 Congress",Real Estate,Boston,"Aspinwall  Codman,",60 Congress,,"60 Congress, Boston",42.35771165217391,-71.0563067826087
1,"Atwood, Pattee  Potter, 27 School",Real Estate,Boston,"Atwood, Pattee  Potter,",27 School,,"27 School, Boston",,
1,"Atwood  Everett, 42 Dartmouth",Real Estate,Boston,"Atwood  Everett,",42 Dartmouth,,"42 Dartmouth, Boston",42.344043,-71.07458701472223
1,WwW. G. AZien or. Alliston,Real Estate,Boston,WwW. G. AZien or. Alliston,,,,,
1,"proree y. P. Babb, Roslindale",Real Estate,Boston,"proree y. P. Babb, Roslindale",,,,,
1,"ay Real Estate Co., 206 Mass. ave.",Real Estate,Boston,"ay Real Estate Co.,",206 Mass. ave.,,"206 Mass. ave., Boston",,
1,"Ben. Badger, Jr., 846 Tremont building.",Real Estate,Boston,"Ben. Badger, Jr., 846 Tremont building.",, 846 Tremont building," 846 Tremont building, Boston",,
1,"Bagley  Cline, East Boaton",Real Estate,Boston,"Bagley  Cline, East Boaton",,,,,
1,"Herman W. Bailey, 3 Irvington",Real Estate,Boston,"Herman W. Bailey,",3 Irvington,,"3 Irvington, Boston",,
1,"Edward F. Baker, 8 Beacon",Real Estate,Boston,"Edward F. Baker,",8 Beacon,,"8 Beacon, Boston",42.3581715,-71.06171720177726
1,"Watson F. Baker, Jr., 60 State",Real Estate,Boston,"Watson F. Baker, Jr.,",60 State,,"60 State, Boston",,
1,"Joseph Balch, 53 State",Real Estate,Boston,"Joseph Balch,",53 State,,"53 State, Boston",,
1,"Wm. F. Baldwin, 30 Ames building.",Real Estate,Boston,"Wm. F. Baldwin, 30 Ames building.",, 30 Ames building," 30 Ames building, Boston",,
1,"Bamfard  Tyler, 2 Milk",Real Estate,Boston,"Bamfard  Tyler,",2 Milk,,"2 Milk, Boston",42.3569904,-71.05838377025316
1,"L. 8S.  G. Barker, Dorchester",Real Estate,Boston,L.,"8S.  G. Barker, Dorchester",,"8S.  G. Barker, Dorchester, Boston",,
1,"Samuel Barnard, 183 Summer",Real Estate,Boston,"Samuel Barnard,",183 Summer,,"183 Summer, Boston",42.34559165,-71.04632748228212
1,"C. F. Barnes, 2584 Washington",Real Estate,Boston,"C. F. Barnes,",2584 Washington,,"2584 Washington, Boston",45.5153672,-122.837946
1,ane x carnse. o08 Nore insion building.,Real Estate,Boston,ane x carnse. o08 Nore insion building.,, o08 Nore insion building," o08 Nore insion building, Boston",,
1,"re arnes, 1053 xchange building.",Real Estate,Boston,"re arnes, 1053 xchange building.",, 1053 xchange building," 1053 xchange building, Boston",,
1,"William BE. Barnes, Atlantic",Real Estate,Boston,"William BE. Barnes, Atlantic",,,,,
1,"James Barrett, 643A Warren",Real Estate,Boston,"James Barrett,",643A Warren,,"643A Warren, Boston",,
1,"G. B. Barron  Dempsey, 679. Tremont",Real Estate,Boston,"G. B. Barron  Dempsey,",679. Tremont,,"679. Tremont, Boston",42.34162155,-71.07647385
1,"R. 8. Barrows, 262 Washington",Real Estate,Boston,R.,"8. Barrows, 262 Washington",,"8. Barrows, 262 Washington, Boston",,
1,"Wm. B. Bartlett, 389 Broadway",Real Estate,Boston,"Wm. B. Bartlett,",389 Broadway,,"389 Broadway, Boston",42.39492950183713,-71.06694465697028
1,"Max Haruch, 190 North",Real Estate,Boston,"Max Haruch,",190 North,,"190 North, Boston",40.713016499999995,-73.46036319999999
1,"Gardner Bates, Charlestown",Real Estate,Boston,"Gardner Bates, Charlestown",,,,,
1,"Mrs. L. B. Battle, 10 Pledmont",Real Estate,Boston,"Mrs. L. B. Battle,",10 Pledmont,,"10 Pledmont, Boston",,
1,"Horace W. Baxter, Jr., 28 Chambers",Real Estate,Boston,"Horace W. Baxter, Jr.,",28 Chambers,,"28 Chambers, Boston",38.212688,-84.552344
1,"ney State Land Co., 16 Exchange",Real Estate,Boston,"ney State Land Co.,",16 Exchange,,"16 Exchange, Boston",,
1,William A. L. Bazeley 53 State,Real Estate,Boston,William A. L. Bazeley,53 State,,"53 State, Boston",,
1,". B. Beal, 43 Tremont",Real Estate,Boston,". B. Beal,",43 Tremont,,"43 Tremont, Boston",42.376180904369726,-71.05814041964803
1,"Gardner Beals, 16 State",Real Estate,Boston,"Gardner Beals,",16 State,,"16 State, Boston",-37.8157151,145.0777572
1,"Geo. C. Beals, 27 State",Real Estate,Boston,"Geo. C. Beals,",27 State,,"27 State, Boston",,
1,"John L, Behneke, 802 Worthington building",Real Estate,Boston,"John L, Behneke, 802 Worthington building",, 802 Worthington building," 802 Worthington building, Boston",,
1,"F. Eugene Belden, 101 Tremont",Real Estate,Boston,"F. Eugene Belden,",101 Tremont,,"101 Tremont, Boston",42.3572206,-71.0610355
1,"James F. Bell, «7 Court",Real Estate,Boston,"James F. Bell, «",7 Court,,"7 Court, Boston",42.3382387,-71.0554306
1,"Henry _D. Bennett, 85 Water",Real Estate,Boston,"Henry _D. Bennett,",85 Water,,"85 Water, Boston",,
1,"E. C. Benson, Jamaica",Real Estate,Boston,"E. C. Benson, Jamaica",,,,,
1,"Joseph L, Bergman, 27 School",Real Estate,Boston,"Joseph L, Bergman,",27 School,,"27 School, Boston",,
1,"P, Bernstein, 837 over",Real Estate,Boston,"P, Bernstein,",837 over,,"837 over, Boston",,
1,"Wm. Berwin, 201 Uid South building.",Real Estate,Boston,"Wm. Berwin, 201 Uid South building.",, 201 Uid South building," 201 Uid South building, Boston",,
1,"HB. J. Beasarick, 414 Old South building.",Real Estate,Boston,"HB. J. Beasarick, 414 Old South building.",, 414 Old South building," 414 Old South building, Boston",,
1,"Bethel Beach Co., Germantown",Real Estate,Boston,"Bethel Beach Co., Germantown",,,,,
1,"Prescott Bigelow, Jr., 70 Kilby",Real Estate,Boston,"Prescott Bigelow, Jr.,",70 Kilby,,"70 Kilby, Boston",42.35773433333333,-71.055106
1,"Joseph J. Billington, 56 Warren",Real Estate,Boston,"Joseph J. Billington,",56 Warren,,"56 Warren, Boston",,
1,"8. Biloski, 201 Old South building.",Real Estate,Boston,"8. Biloski, 201 Old South building.",, 201 Old South building," 201 Old South building, Boston",,
1,"Geo. P. Bingham Co., 60 State",Real Estate,Boston,"Geo. P. Bingham Co.,",60 State,,"60 State, Boston",,
