city,unique_buildings,count
Atlanta,17 8. building,41
Atlanta,4th N. B. building,41
Atlanta,4th N.B. building,41
Atlanta,4thN. B. building,41
Atlanta,6th floor liver Trust building,41
Atlanta,718 Forsyth building,41
Atlanta,Alt. N. B. building,41
Atlanta,Ati. N. B. building,41
Atlanta,Atl N. B. building,41
Atlanta,Atl N. RB. building,41
Atlanta,Atl. N. B. building,41
Atlanta,Auastel building,41
Atlanta,Austell building,41
Atlanta,Austen building,41
Atlanta,Blec.  Gas building,41
Atlanta,Bquitable building,41
Atlanta,CG Williams. 427 Chandler building,41
Atlanta,Candler building,41
Atlanta,Co.. Walton building,41
Atlanta,EBmptre building,41
Atlanta,Empire Life building,41
Atlanta,Empire building,41
Atlanta,Forsyth building,41
Atlanta,Gould building,41
Atlanta,Gould building,41
Atlanta,Grant building,41
Atlanta,Haquitable building,41
Atlanta,Inman building,41
Atlanta,James. Atl. N. B. building,41
Atlanta,Jr.. Temple Ct. building,41
Atlanta,Peters building,41
Atlanta,Peters building,41
Atlanta,Savings Bank  Trust Co.. Grant building,41
Atlanta,Temple Ct. building,41
Atlanta,Walton building,41
Atlanta,empire building,41
Atlanta,ith N. Bank building,41
Atlanta,sth N. B. building,41
Atlanta,sth building,41
Atlanta,th N. B. building,41
Atlanta,,41
Austin,4 Smith Office building,8
Austin,614 Scarbrough building,8
Austin,7 Gpenhelmer building,8
Austin,Bosche building,8
Austin,McDonald building,8
Austin,Scarbrough building,8
Austin,iat Natl. Bank building,8
Austin,,8
Boston,1018 Old South building,81
Boston,1024 Old South building,81
Boston,1030 Old So. building,81
Boston,104 Ames building,81
Boston,1053 xchange building,81
Boston,1080 Old S. building,81
Boston,1088 Old Bouth building,81
Boston,1112 Tremont building,81
Boston,1116 Old South building,81
Boston,1117 Tremont building,81
Boston,1123 Old South building,81
Boston,1123Old South building,81
Boston,1134 Old South building,81
Boston,116 Tremont building,81
Boston,1161 Old South building,81
Boston,201 Old South building,81
Boston,201 Uid South building,81
Boston,216 Tremt. building,81
Boston,224 Old South building,81
Boston,238 Old So. building,81
Boston,28 Old South building,81
Boston,30 Ames building,81
Boston,31 Ames building,81
Boston,331 Old South building,81
Boston,34 Equitable building,81
Boston,40 Ames building,81
Boston,40 Old South building,81
Boston,401 Tremont building,81
Boston,402 Sears building,81
Boston,402 Worthing ton building,81
Boston,408 Tremont building,81
Boston,413 John Hancock building,81
Boston,414 Old South building,81
Boston,420 Tremont building,81
Boston,425 Old South building,81
Boston,428 Old South building,81
Boston,438 Old South building,81
Boston,443 Tremont building,81
Boston,444 Tremont building,81
Boston,481 Kimball building,81
Boston,529 Old South building,81
Boston,530 Old South building,81
Boston,56 Ames building,81
Boston,606 Old South building,81
Boston,615 Old South building,81
Boston,628 Tremont building,81
Boston,644 Tremont building,81
Boston,647 Tremont building,81
Boston,648 Tremont building,81
Boston,66 Ames building,81
Boston,661 Old South building,81
Boston,687 Old South building,81
Boston,732 State Mut. building,81
Boston,736 Old South building,81
Boston,752 Old So. building,81
Boston,752 Old South building,81
Boston,79 Equitable building,81
Boston,802 Worthington building,81
Boston,81 Mason building,81
Boston,814 Old South building,81
Boston,819 Exchange building,81
Boston,826 Old South building,81
Boston,828 Old South building,81
Boston,830 Old South building,81
Boston,835 Old South building,81
Boston,846 Tremont building,81
Boston,884 Old South building,81
Boston,905 Old South building,81
Boston,912 Old South building,81
Boston,918 Old South building,81
Boston,929 Tremont building,81
Boston,936 Old South building,81
Boston,949 Old South building,81
Boston,999 Worthington building,81
Boston,E. Everett. 100 Ames building,81
Boston,J. angles 236 John Hancock building,81
Boston,Moree 713 Old South building,81
Boston,Stark. 1151 Old South building,81
Boston,Viaux. 621 Exch. building,81
Boston,o08 Nore insion building,81
Boston,,81
Charlotte,7 Wilkinson building,7
Charlotte,American building,7
Charlotte,Hunt building,7
Charlotte,Piedmont building,7
Charlotte,Realty building,7
Charlotte,Trust building,7
Charlotte,,7
Chicago,1022 W. building,44
Chicago,1026 Tribune building,44
Chicago,1168 W. Gartiela building,44
Chicago,1243 1st Nat. Bic. building,44
Chicago,1414 Ist Nat. Bank building,44
Chicago,158 Irving Pk. building,44
Chicago,1606 Tribune building,44
Chicago,1628 Irving Pk. building,44
Chicago,178 W. Jackson building,44
Chicago,1st Nat'l Bk. building,44
Chicago,20 W. Jackson building,44
Chicago,2033 Irving Park building,44
Chicago,28 B Jackson building,44
Chicago,302 B. Garfield building,44
Chicago,343 Irving Pk. building,44
Chicago,401 Marquette building,44
Chicago,46th ct.  Montrose building,44
Chicago,4720 Irving Pk. building,44
Chicago,504 Chicage Sav. Bk. building,44
Chicago,53 W. Jackson building,44
Chicago,5626 South building,44
Chicago,5961 South building,44
Chicago,602-3 Marquette building,44
Chicago,63 W. Jackson building,44
Chicago,68 W. Jack- son building,44
Chicago,709 Title  Tr. building,44
Chicago,80 B. Jackaon building,44
Chicago,80 BD. Jackson building,44
Chicago,828 W. Jackson building,44
Chicago,8658 Irving Pk. building,44
Chicago,8th 4. Title  Trust building,44
Chicago,931-7 Unity building,44
Chicago,Becter building,44
Chicago,Ft. Deurborn building,44
Chicago,Ist Nat. Bk. building,44
Chicago,Jackson building,44
Chicago,Logan building,44
Chicago,Manhattan building,44
Chicago,Michigan building,44
Chicago,Ralabury. 20 W. Jackson building,44
Chicago,Rector building,44
Chicago,let Nat. Bk. building,44
Chicago,wa 710 Hartford building,44
Chicago,,44
Cincinnati,10 Allen building,51
Cincinnati,1006 Mer. Lib. building,51
Cincinnati,1009 Mer. Lib. building,51
Cincinnati,11 St. Paul building,51
Cincinnati,1310 First Nat. Bank. building,51
Cincinnati,1404 Firat Nat. Bank. building,51
Cincinnati,1406 Firat Nat. Bank. building,51
Cincinnati,1410 Traction building,51
Cincinnati,15 Carew building,51
Cincinnati,1632 Union Trade. building,51
Cincinnati,1632 Union Trust building,51
Cincinnati,1811 First Nat. Bank. building,51
Cincinnati,205 Carlisle building,51
Cincinnati,28 Blymyer building,51
Cincinnati,300301 Livingston building,51
Cincinnati,308 Johnston building,51
Cincinnati,318 Union Trust building,51
Cincinnati,32 Thomas building,51
Cincinnati,33 Blymyer building,51
Cincinnati,408 Johnston building,51
Cincinnati,409 Mercantile Library building,51
Cincinnati,410 Mer. Lib. building,51
Cincinnati,44 Atlas Bank building,51
Cincinnati,46 Atlas Bank building,51
Cincinnati,6 Atlas Bank. building,51
Cincinnati,603 Mer. Lib. building,51
Cincinnati,605 Mer. Lib. building,51
Cincinnati,606 Mer. Lib building,51
Cincinnati,6067 Mer. Lib. building,51
Cincinnati,608 First Nat. Bank. building,51
Cincinnati,608 Mer. Lib. building,51
Cincinnati,61 st Paul building,51
Cincinnati,614 Mer. Lib. building,51
Cincinnati,615 Johnston building,51
Cincinnati,63 Mitchell building,51
Cincinnati,65 Atlas Bank building,51
Cincinnati,706 Traction building,51
Cincinnati,708 Mer. Lib. building,51
Cincinnati,711 Traction building,51
Cincinnati,78 Perin building,51
Cincinnati,80 Atlas Bank building,51
Cincinnati,806 Second Nat. Bank building,51
Cincinnati,9 Fosdick building,51
Cincinnati,906 Gerke building,51
Cincinnati,908 Mer. Lib. building,51
Cincinnati,Bank building,51
Cincinnati,Lib. building,51
Cincinnati,M. cooper 604 First Nat. Bank building,51
Cincinnati,Mayer. St. Leger building,51
Cincinnati,building,51
Cincinnati,,51
Cleveland,1007 Williamson building,119
Cleveland,1008 Wmaon. building,119
Cleveland,1009 New Eng. building,119
Cleveland,1009 Williamson building,119
Cleveland,1011 Schofield building,119
Cleveland,1013 Schofield building,119
Cleveland,1019 Williamson building,119
Cleveland,1026 Witliamson building,119
Cleveland,1110 New Eing. building,119
Cleveland,1114 Citizens building,119
Cleveland,1121-2 Wmagon. building,119
Cleveland,1180 Wmson. building,119
Cleveland,1226 Williamson building,119
Cleveland,1327 Williamson building,119
Cleveland,1329 mson. building,119
Cleveland,1330 Williamson building,119
Cleveland,1514 Williamson building,119
Cleveland,1610 Rockefeller building,119
Cleveland,1614 Williamson building,119
Cleveland,1826-7 Williamson building,119
Cleveland,1929 Wmson. building,119
Cleveland,201 Tenbusch building,119
Cleveland,203 Beckman building,119
Cleveland,213 Rockefeller building,119
Cleveland,219 Williamson building,119
Cleveland,221 Socfor Sav. building,119
Cleveland,227 Williamson building,119
Cleveland,2365 Soc. for Savings building,119
Cleveland,309 Schofield building,119
Cleveland,311 Soc. for Bav. building,119
Cleveland,311 Willlam building,119
Cleveland,314 Republic building,119
Cleveland,331 Williamson building,119
Cleveland,405-6 Williamson building,119
Cleveland,406 Cham. of Com. building,119
Cleveland,406 Garfield building,119
Cleveland,408 Am. Trust building,119
Cleveland,408 Century building,119
Cleveland,409 Republic building,119
Cleveland,412 Electric building,119
Cleveland,414 Cuyahoga building,119
Cleveland,420 Cuyenoge building,119
Cleveland,421 Schofield building,119
Cleveland,429 Garfield building,119
Cleveland,429 Williamson building,119
Cleveland,431 Williamson building,119
Cleveland,506 Am. Trust building,119
Cleveland,506 Citizens building,119
Cleveland,510 Citizens building,119
Cleveland,510° Williamson building,119
Cleveland,514 Garfield building,119
Cleveland,514 Hippodrome building,119
Cleveland,525 Schofield building,119
Cleveland,527 Schofleld building,119
Cleveland,586 Schofleld building,119
Cleveland,606 New Eng. building,119
Cleveland,606 New England building,119
Cleveland,607-10 Wmson. building,119
Cleveland,610 Park building,119
Cleveland,611 Cuyahoga building,119
Cleveland,614 Garfield building,119
Cleveland,617 Garfield building,119
Cleveland,625 Schofield building,119
Cleveland,626 Williamson building,119
Cleveland,627 _Wliiamson building,119
Cleveland,629 Wmson. building,119
Cleveland,631 Wmson building,119
Cleveland,632 Williamson building,119
Cleveland,682 Schofield building,119
Cleveland,685 Wmaon. building,119
Cleveland,7 Wick building,119
Cleveland,701 Park building,119
Cleveland,702 Garfield building,119
Cleveland,706 Williamson building,119
Cleveland,708 Rose building,119
Cleveland,710 Hippodrome building,119
Cleveland,712 Park building,119
Cleveland,712 Williamson building,119
Cleveland,718 Wmaon. building,119
Cleveland,720 Electric building,119
Cleveland,722 Willtamson building,119
Cleveland,728 Williamson building,119
Cleveland,734 Garfield building,119
Cleveland,801 Cuyahoga building,119
Cleveland,810 Hippodrome building,119
Cleveland,816 Williamson building,119
Cleveland,820 Garfield building,119
Cleveland,822 Citizens building,119
Cleveland,825 Williamson building,119
